GWID,STATENAME,FROM,TO,GROUP,SFE_GROUP_ID,CHILD_OF,PARENT_OF,DIVISION,EPR_GROUP_ID,MAR_GROUP_ID,OFFICER_RELATIVE,OFFICER_SOURCEQUAL,OFFICER_LOWER,OFFICER_UPPER,RANK_FILE_RELATIVE,RANK_FILE_SOURCEQUAL,RANK_FILE_LOWER,RANK_FILE_UPPER
630,Iran,1980,2013,Christians,630-CHR,,"630-ARM, 630-ASS",,,63010,2,1,0,10,-99,-99,0,10
630,Iran,1980,2013,Jews,630-JEW,,,1,63007000,,2,1,0,10,-99,-99,0,10
630,Iran,1980,2013,Kurds,630-KUR,,"630-SUK, 630-SHK",,63008000,63007,2,2,0,10,2,1,0,10
630,Iran,1980,2013,Persians,630-PER,,,1,63009000,,4,2,60,80,4,2,50,80
630,Iran,1980,2013,Shia,630-SHI,,"630-AZE, 630-PER, 630-SHA, 630-SHK",,,,3,3,2,100,3,2,80,100
630,Iran,1980,2013,Shia Arabs,630-SHA,"630-ARA, 630-SHA",,1,,,4,1,0,10,-99,-99,0,10
630,Iran,1980,2013,Sunni Arabs,630-SUA,"630-ARA, 630-SUN",,1,,,2,1,0,10,-99,-99,0,10
630,Iran,1980,2013,Sunnis,630-SUN,,"630-TUR, 630-SUK, 630-SUA",,,,2,1,0,10,2,1,0,10
630,Iran,1980,2013,Turkmen,630-TUR,630-SUN,,1,63006000,63008,3,1,0,10,3,1,0,10
630,Iran,1980,2013,Zoroastrians,630-ZOR,,,1,63012000,,2,1,0,10,-99,-99,0,10
640,Turkey,1946,2013,Kurds,640-KUR,,,1,64001000,64005,2,2,0,20,3,2,10,20
640,Turkey,1946,2013,Roma,640-ROM,,,1,64003000,,-99,-99,0,10,-99,-99,0,10
640,Turkey,1946,2013,Turks,640-TUR,,,1,64002000,,4,2,80,100,3,2,70,90
645,Iraq,1946,1958,Kurds (Sunnis),645-KUR,645-SUN,,1,64501000,64504,4,1,10,30,3,1,10,30
645,Iraq,1946,1958,Shi'a Arabs,645-SHI,,,1,64502000,64506,2,3,10,30,3,1,60,70
645,Iraq,1946,1958,Sunni Arabs,645-SAR,645-SUN,,1,64503000,64507,4,3,50,80,3,1,10,30
645,Iraq,1946,1958,Sunnis,645-SUN,,"645-SAR, 645-KUR",0,,,4,3,60,90,3,1,30,40
645,Iraq,1959,1979,Kurds,645-KUR,645-SUN,,1,64501000,64504,2,2,0,10,2,1,0,20
645,Iraq,1959,1979,Shi'a Arabs,645-SHI,,,1,64502000,64506,2,2,10,30,3,1,60,80
645,Iraq,1959,1979,Sunni Arabs,645-SAR,645-SUN,,1,64503000,64507,4,2,60,90,4,1,20,40
645,Iraq,1959,1979,Sunnis,645-SUN,,"645-SAR, 645-KUR",0,,,4,2,60,90,3,1,20,40
645,Iraq,1980,1991,Kurds,645-KUR,645-SUN,,1,64501000,64504,2,3,0,10,2,2,0,10
645,Iraq,1980,1991,Shi'a Arabs,645-SHI,,,1,64502000,64506,2,3,10,40,3,2,70,90
645,Iraq,1980,1991,Sunni Arabs,645-SAR,645-SUN,,1,64503000,64507,4,3,60,90,4,2,20,40
645,Iraq,1980,1991,Sunnis,645-SUN,,"645-SAR, 645-KUR",0,,,4,2,60,90,3,2,20,30
645,Iraq,1992,2003,Kurds,645-KUR,645-SUN,,1,64501000,64504,2,3,0,10,2,2,0,10
645,Iraq,1992,2003,Shi'a Arabs,645-SHI,,,1,64502000,64506,2,3,10,30,4,2,70,90
645,Iraq,1992,2003,Sunni Arabs,645-SAR,645-SUN,,1,64503000,64507,4,3,70,90,2,2,20,40
645,Iraq,1992,2003,Sunnis,645-SUN,,"645-SAR, 645-KUR",0,,,4,3,70,90,2,2,20,30
645,Iraq,2004,2011,Kurds,645-KUR,645-SUN,,1,64501000,64504,3,2,10,20,3,1,10,20
